osmid,y,x,street_count,ref,highway,geometry
245485058,45.4895455,-73.6857835,3,,,POINT (-73.6857835 45.4895455)
245485094,45.4948603,-73.6962503,3,,,POINT (-73.6962503 45.4948603)
245485107,45.4910677,-73.7008328,3,,,POINT (-73.7008328 45.4910677)
245485117,45.490723,-73.6929271,3,,,POINT (-73.6929271 45.490723)
245485132,45.4928418,-73.6952355,3,,,POINT (-73.6952355 45.4928418)
245488200,45.4847729,-73.6927532,3,6,motorway_junction,POINT (-73.6927532 45.4847729)
245488202,45.4853572,-73.6921398,3,5,motorway_junction,POINT (-73.6921398 45.4853572)
245488204,45.4821538,-73.6960297,3,,,POINT (-73.6960297 45.4821538)
245488205,45.4831228,-73.6949684,3,,,POINT (-73.6949684 45.4831228)
245488208,45.4794769,-73.6998719,3,5,motorway_junction,POINT (-73.6998719 45.4794769)
245488210,45.4800549,-73.6995293,3,,,POINT (-73.6995293 45.4800549)
245488212,45.4749116,-73.7060899,3,,,POINT (-73.7060899 45.4749116)
245488213,45.4750994,-73.7056603,3,,,POINT (-73.7056603 45.4750994)
245488217,45.4706555,-73.7113188,3,,,POINT (-73.7113188 45.4706555)
245489123,45.4659691,-73.7179931,3,,,POINT (-73.7179931 45.4659691)
245489126,45.4622082,-73.7231396,3,,,POINT (-73.7231396 45.4622082)
245569270,45.4993128,-73.7013469,4,,,POINT (-73.7013469 45.4993128)
245569271,45.4994383,-73.7014841,4,,,POINT (-73.7014841 45.4994383)
245569282,45.4989769,-73.7017634,4,,,POINT (-73.7017634 45.4989769)
245569283,45.4990765,-73.70193,4,,,POINT (-73.70193 45.4990765)
245569289,45.5009902,-73.7039487,3,,,POINT (-73.7039487 45.5009902)
245569290,45.5006242,-73.7044068,3,,,POINT (-73.7044068 45.5006242)
245569291,45.5030816,-73.707287,3,,,POINT (-73.707287 45.5030816)
245569292,45.5027177,-73.7077526,3,,,POINT (-73.7077526 45.5027177)
245569293,45.5045243,-73.7099196,3,,,POINT (-73.7099196 45.5045243)
245569294,45.5042927,-73.7102075,3,,,POINT (-73.7102075 45.5042927)
245571046,45.5221661,-73.7074312,4,,,POINT (-73.7074312 45.5221661)
